match_id,season,competition,player_id,player_name,team,is_home,is_starter,age,position_id,usual_position_id,shirt_number,country,formation,rating,minutes_played,first_name,last_name,goals_in_match,assists_in_match,position_name
4829667,2025,2. Bundesliga,1659420,Vitalie Becker,Schalke 04,False,True,20.0,68,2,33,Germany,3-4-2-1,6.7,90,Vitalie,Becker,0,0,Midfielder
4829667,2025,2. Bundesliga,1659415,Peter Remmert,Schalke 04,False,True,20.0,84,2,39,Germany,3-4-2-1,5.7,46,Peter,Remmert,0,0,Midfielder
4829667,2025,2. Bundesliga,782361,Christopher Antwi-Adjej,Schalke 04,False,True,31.0,86,3,18,Ghana,3-4-2-1,6.5,70,Christopher,Antwi-Adjej,0,0,Midfielder
4829667,2025,2. Bundesliga,860056,Moussa Sylla,Schalke 04,False,True,25.0,105,3,9,Mali,3-4-2-1,5.7,90,Moussa,Sylla,0,0,Forward
4829662,2025,2. Bundesliga,212815,Timo Horn,Bochum,True,True,32.0,11,0,1,Germany,3-5-2,7.5,90,Timo,Horn,0,0,Goalkeeper
4829662,2025,2. Bundesliga,1290484,Leandro Morgalla,Bochum,True,True,20.0,33,1,39,Germany,3-5-2,7.5,83,Leandro,Morgalla,0,0,Defender
4829662,2025,2. Bundesliga,167589,Kevin Vogt,Bochum,True,True,33.0,35,1,7,Germany,3-5-2,7.3,90,Kevin,Vogt,0,0,Defender
4829662,2025,2. Bundesliga,920436,Philipp Strompf,Bochum,True,True,27.0,37,1,3,Germany,3-5-2,7.5,90,Philipp,Strompf,0,0,Defender
4829662,2025,2. Bundesliga,1759644,Kacper Koscierski,Bochum,True,True,18.0,71,1,35,Germany,3-5-2,6.3,46,Kacper,Koscierski,0,0,Midfielder
4829662,2025,2. Bundesliga,1525304,Mats Pannewig,Bochum,True,True,20.0,73,2,24,Germany,3-5-2,6.9,76,Mats,Pannewig,0,0,Midfielder
4829662,2025,2. Bundesliga,660327,Ibrahima Sissoko,Bochum,True,True,27.0,75,2,6,Mali,3-5-2,8.4,90,Ibrahima,Sissoko,1,0,Midfielder
4829662,2025,2. Bundesliga,464981,Matus Bero,Bochum,True,True,29.0,77,2,19,Slovakia,3-5-2,7.6,90,Matus,Bero,0,0,Midfielder
4829662,2025,2. Bundesliga,556027,Maximilian Wittek,Bochum,True,True,29.0,79,1,32,Germany,3-5-2,7.6,90,Maximilian,Wittek,0,0,Midfielder
4829662,2025,2. Bundesliga,936618,Moritz Broschinski,Bochum,True,True,24.0,104,3,29,Germany,3-5-2,6.8,90,Moritz,Broschinski,0,0,Forward
4829662,2025,2. Bundesliga,1669436,Mathis Clairicia,Bochum,True,True,22.0,106,3,14,France,3-5-2,5.8,46,Mathis,Clairicia,0,0,Forward
4829662,2025,2. Bundesliga,1285926,Nicolas Kristof,Elversberg,False,True,25.0,11,0,20,Germany,4-2-3-1,7.0,90,Nicolas,Kristof,0,0,Goalkeeper
4829662,2025,2. Bundesliga,458602,Jan Gyamerah,Elversberg,False,True,30.0,32,2,30,Germany,4-2-3-1,,90,Jan,Gyamerah,0,0,Defender
4829662,2025,2. Bundesliga,1280560,Lukas Pinckert,Elversberg,False,True,25.0,34,1,19,Germany,4-2-3-1,5.3,90,Lukas,Pinckert,0,0,Defender
4829662,2025,2. Bundesliga,1077911,Maximilian Rohr,Elversberg,False,True,30.0,36,1,31,Germany,4-2-3-1,6.7,90,Maximilian,Rohr,0,0,Defender
4829662,2025,2. Bundesliga,1245692,Lasse Günther,Elversberg,False,True,22.0,38,1,21,Germany,4-2-3-1,6.8,69,Lasse,Günther,0,0,Defender
4829662,2025,2. Bundesliga,763990,Amara Conde,Elversberg,False,True,28.0,64,2,6,Germany,4-2-3-1,6.7,90,Amara,Conde,0,0,Midfielder
4829662,2025,2. Bundesliga,909433,Carlo Sickinger,Elversberg,False,True,28.0,66,2,23,Germany,4-2-3-1,6.7,84,Carlo,Sickinger,0,0,Midfielder
4829662,2025,2. Bundesliga,1093782,Lukas Petkov,Elversberg,False,True,24.0,83,3,25,Bulgaria,4-2-3-1,6.0,90,Lukas,Petkov,0,0,Midfielder
